Bashkir,bak,ba,,ba,,,,,bak,,,,,ba,bak_Cyrl
Basque,eus,eu,eu,eu,,,eu-ES,,baq,,,,,,eus_Latn
Belarusian,bel,be,be,,,,be-BY,,bel,,,,,be,bel_Cyrl
Bemba,bem,,,,,,bem-ZM,,bem,,,,,,bem_Latn
Bengali,ben,bn,bn,bn,,,bn-IN,,ben,,,,,bn,ben_Beng
Berber,ber,,,,,,,,ber,,,,,,
Bhili,gra,,,,,,,,gra,,,,,,
Bhojpuri,bho,,bho,,,,,,bho,,,,,,bho_Deva
Bislama,bis,bi,,,,,bi-VU,,bis,,,,,,
Bokmål,nob,nb,,nb,NB,,,,nob,,,,,,nob_Latn
Bosnian,bos,bs,bs,bs,,,bs-BA,,bos,,,,,bs,bos_Latn
Breton,bre,br,,,,,br-FR,,bre,,,,,br,
Buginese,bug,,,,,,,,,,,,,,bug_Latn
Bulgarian,bul,bg,bg,bg,BG,,bg-BG,,bul,,,,,bg,bul_Cyrl
Burmese,mya,my,my,my,,,my-MM,,bur,,,,,my,mya_Mymr
Cape Verdean Creole,kea,,,,,,kea-CV,,,,,,,,kea_Latn
Catalan,cat,ca,ca,ca,,,ca-ES,,cat,,,,,ca,cat_Latn
Cebuano,ceb,,ceb,,,,,,ceb,,,,,ceb,ceb_Latn
Central Atlas Tamazight,tzm,,,,,,,,,,,,,,tzm_Tfng
Central Khmer,khm,km,km,km,,,km-KM,,,,,,,km,khm_Khmr
Chamorro,cha,ch,,,,,ch-GU,,,,,,,,
Chhattisgarhi,hne,,,,,,,,,,,,,,hne_Deva
Chinese,zho,zh,zh-CN,zh-Hans,ZH,zh,zh-CN,zh-cn,zh,zh-CHS,zh-CN,,,zh,zho_Hant
Chinese Classical,lzh,,,lzh,,,,,,,,,,,
Chinese Hakka,hak,,,,,,,,hak,,,,,,
Chinese Taiwanese,goyu,zh-TW,zh-TW,zh-Hant,,,zh-TW,zh-tw,,,zh-TW,,,,
Chinese Yue,yue,,,yue,,,,,yue,,,,,,yue_Hant
Chokwe,cjk,,,,,,,,,,,,,,cjk_Latn
Cholón,cht,,,,,,,,cht,,,,,,
Chuvash,chv,cv,,,,,,,chv,,,,,,
Comorian,zdj,,,,,,zdj-KM,,,,,,,,
Coptic,cop,,,,,,cop-EG,,,,,,,,
Cornish,cor,kw,,,,,,,cor,,,,,,
Corsican,cos,co,co,,,,,,cos,,,,,,
Cree,cre,cr,,,,,,,cre,,,,,,
Crimean Tatar,crh,,,,,,,,,,,,,,crh_Latn
Croatian,hrv,hr,hr,hr,,,hr-HR,,hrv,,,,,hr,hrv_Latn
Czech,ces,cs,cs,cs,CS,cs,cs-CZ,,cs,,,,,cs,ces_Latn
Danish,dan,da,da,da,DA,da,da-DK,,dan,,,,,da,dan_Latn
Dari,prs,,,prs,,,,,,,,,,,prs_Arab
Deg Xinag,ing,,,,,,,,ing,,,,,,
Dholuo,luo,,,,,,,,,,,,,,luo_Latn
Dinka,dik,,,,,,,,,,,,,,dik_Latn
Divehi,div,dv,dv,dv,,,dv-MV,,div,,,,,,
Dogri,doi,,doi,,,,,,,,,,,,
Dutch,nld,nl,nl,nl,NL,nl,nl-NL,,nl,,,,,nl,nld_Latn
Dyula,dyu,,,,,,,,,,,,,,dyu_Latn
Dzongkha,dzo,dz,,,,,dz-BT,,,,,,,,dzo_Tibt
Enggano,eno,,,,,,,,eno,,,,,,
English,eng,en,en-US,en,EN-US,en,en-GB,en,en,en,en,en,en,en,eng_Latn
Esperanto,epo,eo,eo,,,eo,eo-EU,,epo,,,,,,epo_Latn
Estonian,est,et,et,et,ET,,et-EE,,est,,,,,et,est_Latn
Ewe,ewe,ee,ee,,,,,,,,,,,,ewe_Latn
Faroese,fao,fo,,fo,,,fo-FO,,fao,,,,,,fao_Latn
Fer,kah,,,,,,,,kah,,,,,,
Fijian,fij,fj,,fj,,,,,,,,,,,fij_Latn
Filipino,fil,,,fil,,,,,fil,,,,,,
Finnish,fin,fi,fi,fi,FI,fi,fi-FI,,fin,,,,,fi,fin_Latn
Fon,fon,,,,,,,,,,,,,,fon_Latn
Forro Creole,cri,,,,,,,,cri,,,,,,
French,fra,fr,fr,fr,FR,fr,fr-FR,fr,fra,fr,fr,,,fr,fra_Latn
Friulian,fur,,,,,,,,,,,,,,fur_Latn
Fulah,ful,ff,,,,,,,ful,,,,,ff,fuv_Latn
Gaelic,gla,gd,gd,,,,gd-GB,,gla,,,,,gd,gla_Latn
Galician,glg,gl,gl,gl,,,gl-ES,,glg,,,,,gl,glg_Latn
Ganda,lug,lg,lg,lug,,,,,lug,,,,,lg,lug_Latn
Georgian,kat,ka,ka,ka,,,ka-GE,,geo,,,,,ka,kat_Geor
German,deu,de,de,de,DE,de,de-DE,de,de,de,de,,,de,deu_Latn
Greek,ell,el,el,el,EL,el,el-GR,,el,,,,,el,ell_Grek
Grenadian Creole English,gcl,,,,,,gcl-GD,,,,,,,,
Guarani,grn,gn,gn,,,,,,grn,,,,,,grn_Latn
Guinea Bissau Creole,pov,,,,,,pov-GW,,,,,,,,
Gujarati,guj,gu,gu,gu,,,gu-IN,,guj,,,,,gu,guj_Gujr
Guyanese Creole,gyn,,,,,,gyn-GY,,,,,,,,
Haitian,hat,ht,ht,ht,,,ht-HT,,ht,,,,,ht,hat_Latn
Hausa,hau,ha,ha,ha,,,ha-NE,,hau,,,,,ha,hau_Latn
Hawaiian,haw,,haw,,,,haw-US,,haw,,,,,,
Hebrew,heb,he,iw,he,,he,he-IL,,heb,,,,,he,heb_Hebr
Hiligaynon,hil,,,,,,,,hil,,,,,,
Hindi,hin,hi,hi,hi,,hi,hi-IN,,hi,,hi,,,hi,hin_Deva
Hmong,hmn,,hmn,mww,,,,,hmn,,,,,,
Hungarian,hun,hu,hu,hu,HU,hu,hu-HU,,hu,,,,,hu,hun_Latn
Hupa,hup,,,,,,,,hup,,,,,,
Icelandic,isl,is,is,is,,,is-IS,,ice,,,,,is,isl_Latn
Ido,ido,io,,,,,,,ido,,,,,,
Igbo,ibo,ig,ig,ig,,,,,ibo,,,,,ig,ibo_Latn
Ilocano,ilo,,ilo,,,,,,,,,,,ilo,ilo_Latn
Indonesian,ind,id,id,id,ID,id,id-ID,id,id,id,id,,,id,ind_Latn
Interlingua,ina,ia,,,,,,,ina,,,,,,
Inuktitut,iku,iu,,iu,,,,,iku,,,,,,
Inuvialuktun,ikt,,,ikt,,,,,,,,,,,
Irish,gle,ga,ga,ga,,ga,ga-IE,,gle,,,,,ga,gle_Latn
Italian,ita,it,it,it,IT,it,it-IT,it,it,,it,,,it,ita_Latn
Jamaican Patois,jam,,,,,,jam-JM,,,,,,,,
Japanese,jpn,ja,ja,ja,JA,ja,ja-JP,ja,,ja,ja,ja,ja,ja,jpn_Jpan
Javanese,jav,jv,jw,,,,jv-ID,,jav,,,,,jv,jav_Latn
Jingpho,kac,,,,,,,,,,,,,,kac_Latn
Kabiye,kbp,,,,,,,,,,,,,,kbp_Latn
Kabyle,kab,,,,,,kab-DZ,,kab,,,,,,kab_Latn
Kalaallisut,kal,kl,,,,,kl-GL,,kal,,,,,,
Kalumpang,kli,,,,,,,,kli,,,,,,
Kamba,kam,,,,,,,,,,,,,,kam_Latn
Kannada,kan,kn,kn,kn,,,kn-IN,,kan,,,,,kn,kan_Knda
Kanuri,kau,kr,,,,,,,kau,,,,,,Kanuri
Kapampangan,pam,,,,,,,,pam,,,,,,
Kashmiri,kas,ks,,,,,,,kas,,,,,,kas_Arab
Kazakh,kaz,kk,kk,kk,,,kk-KZ,,,,,,,kk,kaz_Cyrl
Kikuyu,kik,ki,,,,,,,,,,,,,kik_Latn
Kimbundu,kmb,,,,,,,,,,,,,,kmb_Latn
Kinyarwanda,kin,rw,rw,rw,,,rw-RW,,kin,,,,,,kin_Latn
Kirghiz,kir,ky,ky,ky,,,ky-KG,,kir,,,,,,kir_Cyrl
Kongo,kon,kg,,,,,,,kon,,,,,,kon_Latn
Konkani,kok,,gom,gom,,,,,kok,,,,,,
Korean,kor,ko,ko,ko,KO,ko,ko-KR,ko,kor,ko,ko,,,ko,kor_Hang
Krio,kri,,kri,,,,,,,,,,,,
Kurdish,kur,ku,ku,ku,,,ku-TR,,kur,,,,,,
Kurmanji,kmr,,,kmr,,,,,,,,,,,kmr_Latn
Lao,lao,lo,lo,lo,,,lo-LA,,lao,,,,,lo,lao_Laoo
Latgalian,ltg,,,,,,,,,,,,,,ltg_Latn
Latin,lat,la,la,,,,la-VA,,lat,,,,,,
Latvian,lav,lv,lv,lv,LV,,lv-LV,,lav,,,,,lv,lvs_Latn
Lia Ntomba,bli,,,,,,,,bli,,,,,,
Ligurian,lij,,,,,,,,,,,,,,lij_Latn
Limburgan,lim,li,,,,,,,lim,,,,,,lim_Latn
Lingala,lin,ln,ln,ln,,,,,lin,,,,,ln,lin_Latn
Lithuanian,lit,lt,lt,lt,LT,,lt-LT,,lit,,,,,lt,lit_Latn
Logo,log,,,,,,,,log,,,,,,
Logudorese,src,,,,,,,,src,,,,,,
Lombard,lmo,,,,,,,,,,,,,,lmo_Latn
Loniu,los,,,,,,,,los,,,,,,
Lou,loj,,,,,,,,loj,,,,,,
Luba Kasai,lua,,,,,,,,,,,,,,lua_Latn
Luxembourgish,ltz,lb,lb,,,,lb-LU,,ltz,,,,,lb,ltz_Latn
Macedonian,mkd,mk,mk,mk,,,mk-MK,,mac,,,,,mk,mkd_Cyrl
Magahi,mag,,,,,,,,,,,,,,mag_Deva
Maithili,mai,,mai,mai,,,,,mai,,,,,,mai_Deva
Mala,ped,,,,,,,,ped,,,,,,
Mala Nigeria,ruy,,,,,,,,ruy,,,,,,
Malagasy,mlg,mg,mg,mg,,,mg-MG,,mg,,,,,mg,plt_Latn
Malay,msa,ms,ms,ms,,,ms-MY,,may,,,,,ms,
Malayalam,mal,ml,ml,ml,,,,,mal,,,,,ml,mal_Mlym
Malaysian Malay,zsm,,,,,,,,,,,,,,zsm_Latn
Maltese,mlt,mt,mt,mt,,,mt-MT,,mlt,,,,,,mlt_Latn
Manx,glv,gv,,,,,gv-IM,,glv,,,,,,
Maori,mri,mi,mi,mi,,,mi-NZ,,,,,,,,mri_Latn
Marathi,mar,mr,mr,mr,,,,,mar,,,,,mr,mar_Deva
Marshallese,mah,mh,,,,,mh-MH,,mah,,,,,,
Mauritian Creole,mfe,,,,,,mfe-MU,,,,,,,,
Mazatecan,mau,,,,,,,,mau,,,,,,
Meitei,mni,,,,,,,,,,,,,,mni_Beng
Mende,men,,,,,,men-SL,,,,,,,,
Middle French,frm,,,,,,,,frm,,,,,,
Minangkabau,min,,,,,,,,,,,,,,min_Latn
Mizo,lus,,lus,,,,,,,,,,,,lus_Latn
Mongolian,mon,mn,mn,,,,mn-MN,,,,,,,mn,khk
Mooré,mos,,,,,,,,,,,,,,mos_Latn
Māori,mao,,,,,,,,mao,,,,,,
NKo,nqo,,,,,,,,nqo,,,,,,
Nepali,nep,ne,ne,ne,,,ne-NP,,nep,,,,,ne,Nepali
Ngadha,nea,,,,,,,,nea,,,,,,
Niuean,niu,,,,,,niu-NU,,,,,,,,
Northern Sami,sme,se,,,,,,,sme,,,,,,
Norwegian,nor,no,no,,,,no-NO,,nor,,,,,no,
Nuer,nus,,,,,,,,,,,,,,nus_Latn
Nyanja,nya,ny,ny,nya,,,ny-MW,,nya,,,,,,nya_Latn
Nynorsk,nno,nn,,,,,,,nno,,,,,,nno_Latn
Occitan,oci,oc,,,,,,,oci,,,,,oc,oci_Latn
Odia,ory,,,,,,,,,,,,,,ory_Orya
Ojibwa,oji,oj,,,,,,,oji,,,,,,
Oriya,ori,or,or,or,,,,,ori,,,,,or,
Oromo,orm,om,om,,,,,,orm,,,,,,gaz_Latn
Ossetian,oss,os,,,,,,,oss,,,,,,
Otomi Northwestern,otq,,,otq,,,,,,,,,,,
Palauan,pau,,,,,,pau-PW,,,,,,,,
Pangasinan,pag,,,,,,,,,,,,,,pag_Latn
Panjabi,pan,pa,pa,pa,,,pa-IN,,pan,,,,,pa,pan_Guru
Papiamento,pap,,,,,,pap-CW,,pap,,,,,,pap_Latn
Pashto Southern,pbt,,,,,,,,,,,,,,pbt_Arab
Persian,per,fa,fa,fa,,fa,fa-IR,,per,,,,,fa,
Persian Iranian,pes,,,,,,,,,,,,,,pes_Arab
Pijin,pis,,,,,,pis-SB,,,,,,,,
Polish,pol,pl,pl,pl,PL,pl,pl-PL,,pl,,,,,pl,pol_Latn
Portuguese,por,pt,pt,pt,PT-BR,pt,pt-PT,,pt,pt,pt,,,pt,por_Latn
Potawatomi,pot,,,,,,pot-US,,pot,,,,,,
Pushto,pus,ps,ps,ps,,,ps-PK,,pus,,,,,ps,
Quechua,que,qu,qu,,,,qu-PE,,que,,,,,,
Rangi,lag,,,,,,,,lag,,,,,,
Romani,rom,,,,,,,,rom,,,,,,
Romanian,ron,ro,ro,ro,RO,,ro-RO,,ro,,,,,ro,ron_Latn
Romansh,roh,rm,,,,,rm-RO,,roh,,,,,,
Rundi,run,rn,,run,,,rn-BI,,,,,,,,run_Latn
Russian,rus,ru,ru,ru,RU,ru,ru-RU,ru,ru,ru,ru,,,ru,rus_Cyrl
Saint Lucian Creole,acf,,,,,,acf-LC,,,,,,,,
Samoan,smo,sm,sm,sm,,,sm-WS,,sm,,,,,,smo_Latn
Sango,sag,sg,,,,,sg-CF,,,,,,,,sag_Latn
Sanskrit,san,sa,sa,,,,,,san,,,,,,san_Deva
Santali,sat,,,,,,,,,,,,,,sat_Olck
Sardinian,srd,sc,,,,,,,srd,,,,,,srd_Latn
Scots,sco,,,,,,,,sco,,,,,,
Sechelt,sec,,,,,,,,sec,,,,,,
Serbian,srp,sr,sr,,,,sr-RS,,srp,,,,,sr,srp_Cyrl
Seychellois Creole,crs,,,,,,crs-SC,,,,,,,,
Shall Zwall,sha,,,,,,,,sha,,,,,,
Shan,shn,,,,,,,,,,,,,,shn_Mymr
Shona,sna,sn,sn,sn,,,sn-ZW,,sna,,,,,,sna_Latn
Sicilian,scn,,,,,,,,,,,,,,scn_Latn
Silesian,szl,,,,,,,,,,,,,,szl_Latn
Sindhi,snd,sd,sd,sd,,,,,snd,,,,,sd,snd_Arab
Sinhala,sin,si,si,si,,,si-LK,,sin,,,,,si,sin_Sinh
Sisaala,sil,,,,,,,,sil,,,,,,
Slovak,slk,sk,sk,sk,SK,sk,sk-SK,,sk,,,,,sk,slk_Latn
Slovenian,slv,sl,sl,sl,SL,,sl-SI,,,,,,,sl,slv_Latn
Solos,sol,,,,,,,,sol,,,,,,
Somali,som,so,so,so,,,so-SO,,som,,,,,so,som_Latn
Sorani,ckb,,ckb,,,,ckb-IQ,,,,,,,,ckb_Arab
Sorbian Lower,dsb,,,dsb,,,,,,,,,,,
Sorbian Upper,hsb,,,hsb,,,,,,,,,,,
Sotho,sot,st,st,st,,,st-ST,,sot,,,,,,sot_Latn
Sotho Northern,nso,ns,nso,nso,,,,,,,,,,ns,nso_Latn
Southern Ndebele,nbl,nr,,,,,,,nbl,,,,,,
Spanish,spa,es,es,es,ES,es,es-ES,es,spa,es,es,,,es,spa_Latn
Sranan Tongo,srn,,,,,,srn-SR,,,,,,,,
Sundanese,sun,su,su,,,,,,sun,,,,,su,sun_Latn
Swahili,swa,sw,sw,sw,,,sw-SZ,,swa,,,,,sw,Swahili
Swati,ssw,ss,,,,,,,,,,,,ss,ssw_Latn
Swedish,swe,sv,sv,sv,SV,sv,sv-SE,,swe,,,,,sv,swe_Latn
Syriac,syc,,,,,,syc-TR,,,,,,,,
Tagalog,tgl,tl,tl,,,,tl-PH,,tgl,,,,,tl,tgl_Latn
Tahitian,tah,ty,,ty,,,,,,,,,,,
Tajik,tgk,tg,tg,,,,tg-TJ,,tgk,,,,,,tgk_Cyrl
Tamasheq,taq,,,,,,,,,,,,,,taq_Tfng
Tamil,tam,ta,ta,ta,,,ta-LK,,tam,,,,,ta,tam_Taml
Tatar,tat,tt,tt,tt,,,,,tat,,,,,,tat_Cyrl
Telugu,tel,te,te,te,,,te-IN,,tel,,,,,,tel_Telu
Tetum,tet,,,,,,tet-TL,,tet,,,,,,
Thai,tha,th,th,th,,,th-TH,th,th,,th,,,th,tha_Thai
Tibetan,bod,bo,,bo,,,bo-CN,,,,,,,,bod_Tibt
Tigrinya,tir,ti,ti,ti,,,ti-TI,,tir,,,,,,tir_Ethi
Tok Pisin,tpi,,,,,,tpi-PG,,,,,,,,tpi_Latn
Tokelauan,tkl,,,,,,tkl-TK,,,,,,,,
Tonga,ton,to,,to,,,to-TO,,,,,,,,
Tsonga,tso,ts,ts,,,,,,tso,,,,,,tso_Latn
Tswana,tsn,tn,,tn,,,tn-BW,,,,,,,tn,tsn_Latn
Tuareg,tmh,,,,,,tmh-DZ,,,,,,,,
Tumbuka,tum,,,,,,,,,,,,,,tum_Latn
Turkish,tur,tr,tr,tr,TR,tr,tr-TR,,tr,,,,,tr,tur_Latn
Turkmen,tuk,tk,tk,tk,,,tk-TM,,tuk,,,,,,tuk_Latn
Tuvaluan,tvl,,,,,,tvl-TV,,,,,,,,
Twi,twi,tw,,,,,,,twi,,,,,,twi_Latn
Uighur,uig,ug,ug,ug,,,,,,,,,,,uig_Arab
Ukrainian,ukr,uk,uk,uk,UK,uk,uk-UA,,ukr,,,,,uk,ukr_Cyrl
Uma,ppk,,,,,,ppk-ID,,,,,,,,
Umbundu,umb,,,,,,,,,,,,,,umb_Latn
Urdu,urd,ur,ur,ur,,,ur-PK,,urd,,,,,ur,urd_Arab
Uzbek,uzb,uz,uz,uz,,,uz-UZ,,,,,,,uz,Uzbek
Venda,ven,ve,,,,,,,ven,,,,,,
Venetian,vec,,,,,,,,,,,,,,vec_Latn
Vietnamese,vie,vi,vi,vi,,,vi-VN,vi,vie,vi,vi,,,vi,vie_Latn
Vincentian Creole,svc,,,,,,svc-VC,,,,,,,,
Virgin Islands Creole,vic,,,,,,vic-US,,,,,,,,
Wallisian,wls,,,,,,wls-WF,,,,,,,,
Walloon,wln,wa,,,,,,,wln,,,,,,
Waray,war,,,,,,,,,,,,,,war_Latn
Welsh,cym,cy,cy,cy,,,cy-GB,,wel,,,,,cy,cym_Latn
Western Frisian,fry,fy,fy,,,,,,fry,,,,,fy,
Wiarumus,tua,,,,,,,,tua,,,,,,
Wolof,wol,wo,,,,,wo-SN,,wol,,,,,wo,wol_Latn
Xhosa,xho,xh,xh,xh,,,xh-ZA,,xho,,,,,xh,xho_Latn
Yiddish,yid,yi,yi,,,,yi-YD,,yid,,,,,yi,ydd_Hebr
Yoruba,yor,yo,yo,yo,,,,,yor,,,,,yo,yor_Latn
Yucatec Maya,yua,,,yua,,,,,,,,,,,
Zari,zaz,,,,,,,,zaz,,,,,,
Zulu,zul,zu,zu,zu,,,zu-ZA,,zul,,,,,zu,zul_Latn
